#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2022-09-20T11:33:56 [V1.99+ (14-Oct-2013)]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	votable-version=1.99+ (14-Oct-2013)	
#INFO	-ref=VIZ632999b530aaa9	
#INFO	-out.max=unlimited	
#INFO	queryParameters=16	
#-oc.form=dec
#-out.max=unlimited
#-order=I
#-out.src=V/50/catalog
#-nav=cat:V/50&tab:{V/50/catalog}&key:source=V/50&HTTPPRM:&&-ref=VIZ632999b530aaa9&-out.max=50&-out.form=HTML Table&-oc.form=sexa&-c.eq=J2000&-c.r=  2&-c.u=arcmin&-c.geom=r&-order=I&-out=HR&-out=Name&-out=RAJ2000&-out=DEJ2000&-out=Vmag&-out=SpType&-file=.&-meta.ucd=2&-meta=1&-meta.foot=1&-usenav=1&-bmark=POST&-out.src=V/50/catalog
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=V/50/catalog
#-out=HR
#-out=Name
#-out=RAJ2000
#-out=DEJ2000
#-out=Vmag
#-out=SpType
#

#RESOURCE=yCat_5050
#Name: V/50
#Title: Bright Star Catalogue, 5th Revised Ed. (Hoffleit+, 1991)
#Coosys	J2000_2000.000:	eq_FK5 J2000
#Table	V_50_catalog:
#Name: V/50/catalog
#Title: The main part of the Catalogue
#Column	HR	(I4)	[1/9110]+ Harvard Revised Number = Bright Star Number	[ucd=meta.id;meta.main]
#Column	Name	(a10)	Name, generally Bayer and/or Flamsteed name	[ucd=meta.id]
#Column	RAJ2000	(A10)	?Hours RA, equinox J2000, epoch 2000.0 (1)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A9)	?Sign Dec, equinox J2000, epoch 2000.0 (1)	[ucd=pos.eq.dec;meta.main]
#Column	Vmag	(F5.2)	?Visual magnitude (1)	[ucd=phot.mag;em.opt.V]
#Column	SpType	(a20)	Spectral type	[ucd=src.spType]
HR	Name	RAJ2000	DEJ2000	Vmag	SpType
1785	          	05 23 12.0	-26 42 21	 6.49	  F6V
1786	          	05 24 36.2	+02 21 10	 6.32	  B4IVn
1787	 27    Ori	05 24 28.9	-00 53 29	 5.08	  G9III-IVFe-1
1788	 28Eta Ori	05 24 28.6	-02 23 49	 3.36	  B1V+B2e
1789	 25Psi1Ori	05 24 44.8	+01 50 47	 4.95	  B1Vpe
1790	 24Gam Ori	05 25 07.9	+06 20 59	 1.64	  B2III
1791	112Bet Tau	05 26 17.5	+28 36 27	 1.65	  B7III
1792	          	05 24 28.4	-16 58 34	 5.65	  A1V
1793	          	05 23 24.0	-39 40 43	 5.71	  M1III
1794	          	05 26 54.3	+35 27 26	 6.15	  K2
1795	          	05 26 48.9	+34 23 30	 5.94	  A0III
1796	          	05 26 51.3	+33 15 46	 6.15	  K0
1797	          	05 23 39.0	-37 20 12	 6.82	  K1III
1798	113    Tau	05 26 05.7	+16 42 01	 6.25	  B2Vn
1799	          	05 25 01.6	-10 19 45	 5.61	  K5III
1800	          	05 25 31.2	-00 32 39	 6.57	  B9pHgSi
1801	   Kap Pic	05 22 22.1	-56 08 04	 6.11	  B8-9V
1802	 17    Cam	05 30 10.2	+63 04 02	 5.42	  M1IIIa
1803	          	05 25 47.0	+00 31 15	 6.16	  B2.5V
1804	          	05 27 08.3	+30 12 31	 5.74	  B9Ib
1805	 24Phi Aur	05 27 38.9	+34 28 33	 5.07	  K3IIICN+2
1806	          	05 26 02.4	-05 31 06	 6.23	  B9.5Vn
1807	          	05 26 38.8	+06 52 09	 6.42	  A0Vn
1808	115    Tau	05 27 10.1	+17 57 44	 5.42	  B5V
1809	          	05 27 13.8	+15 15 28	 6.16	  A1IV
1810	114    Tau	05 27 38.1	+21 56 13	 4.88	  B2.5IV
1811	 30Psi2Ori	05 26 50.2	+03 05 44	 4.59	  B2IV
1812	          	05 25 59.8	-19 41 44	 5.89	  F2V
1813	          	05 24 55.6	-44 13 33	 6.08	  K1III
1814	116    Tau	05 27 45.6	+15 52 27	 5.50	  B9.5Vn
1815	          	05 12 25.7	-81 32 30	 6.51	  K1III
1816	117    Tau	05 28 01.6	+17 14 20	 5.77	  M1III
1817	          	05 27 04.8	-11 54 03	 6.35	 dF7
1818	   The Pic	05 24 46.2	-52 18 59	 6.27	  A0V
1819	          	05 28 34.8	+13 40 44	 6.35	  A4V
1820	          	05 28 01.6	+01 17 54	 6.41	  B2V
1821	118    Tau	05 29 16.5	+25 09 02	 5.47	  B8.5V
1822	          	05 29 40.6	+29 11 11	 6.24	  F6III
1823	          	05 27 36.5	-21 22 32	 6.07	 gG7
1824	          	05 30 48.6	+41 27 43	 6.00	  K0IIIp
1825	          	05 30 45.1	+39 49 33	 6.37	  G9III
1826	          	05 28 56.7	-03 18 27	 6.39	  A0Vn
1827	          	05 27 05.3	-40 56 37	 5.87	  A7m
1828	 18    Cam	05 32 33.8	+57 13 16	 6.48	  F8V
1829	  9Bet Lep	05 28 14.7	-20 45 34	 2.84	  G5II
1830	          	05 29 23.6	-03 26 47	 5.79	  K1-III
1831	          	05 30 43.4	+22 27 45	 6.29	  K0
1832	          	05 30 26.1	+15 21 37	 5.94	  A3Vn
1833	          	05 29 54.8	+01 47 21	 5.78	  B2V
1834	 31    Ori	05 29 44.0	-01 05 32	 4.71	  K5III
1835	          	05 28 15.3	-37 13 50	 5.57	  A1V
1836	   Lam Dor	05 26 19.3	-58 54 45	 5.14	  G6III
1837	          	05 30 19.8	+04 12 15	 6.21	  K2IIIe
1838	          	05 29 06.7	-30 07 00	 6.75	  G8/K0III
1839	 32    Ori	05 30 47.1	+05 56 53	 4.20	  B5V
1840	          	05 30 20.7	-07 26 05	 6.33	  B2IV-V
1841	 NOVA 1891	          	         	     	
1842	 33    Ori	05 31 14.5	+03 17 32	 5.46	  B1IV+B1.5V
1843	 25Chi Aur	05 32 43.7	+32 11 31	 4.76	  B5Iab
1844	          	05 39 43.7	+75 02 38	 6.17	  M0III
1845	119    Tau	05 32 12.8	+18 35 40	 4.38	  M2Iab-Ib
1846	          	05 33 28.7	+42 06 32	 6.55	  B9IIIp:Hg:
1847	          	05 32 14.2	+17 03 29	 5.46	  B7IIIe
1848	          	05 31 20.9	-06 42 30	 6.22	  B2V
1849	 10    Lep	05 31 07.6	-20 51 49	 5.55	  A0V
1850	          	05 33 27.5	+32 48 04	 6.48	  A2m
1851	 34Del Ori	05 32 00.5	-00 17 04	 6.85	  B2V
1852	 34Del Ori	05 32 00.4	-00 17 57	 2.23	  O9.5II
1853	          	05 37 16.2	+66 41 46	 6.26	  A8Vn
1854	          	05 33 38.0	+34 43 33	 6.27	  A3IV
1855	 36Ups Ori	05 31 55.8	-07 18 05	 4.62	  B0V
1856	          	05 30 09.5	-47 04 40	 5.46	  G3IV
1857	 19    Cam	05 37 15.1	+64 09 17	 6.15	  A0V
1858	120    Tau	05 33 31.6	+18 32 25	 5.69	  B2IV-Ve
1859	          	05 27 00.0	-68 37 22	 6.03	  F0IV-V
1860	          	05 33 38.8	+20 28 27	 6.18	  B6V
1861	          	05 32 41.3	-01 35 31	 5.35	  B1IV
1862	   Eps Col	05 31 12.7	-35 28 14	 3.87	  K1IIIa
1863	          	05 33 07.2	-01 43 06	 6.46	  B4Vn
1864	 35    Ori	05 33 54.3	+14 18 20	 5.64	  B3V
1865	 11Alp Lep	05 32 43.8	-17 49 20	 2.58	  F0Ib
1866	          	05 36 35.2	+54 25 44	 5.73	  M0III
1867	          	05 29 17.4	-62 18 52	 6.59	  K4-5III
1868	          	05 33 31.4	-01 09 22	 5.34	  B1V
1869	          	05 36 15.9	+47 42 55	 6.11	 dF0
1870	          	05 31 36.1	-45 55 31	 5.86	  K3III
1871	          	05 33 57.6	+01 24 28	 6.59	  B2V
1872	 38    Ori	05 34 16.7	+03 46 01	 5.36	  A2V
1873	          	05 34 03.9	-01 02 08	 6.22	  B2.5V
1874	          	05 34 04.0	-01 28 14	 5.93	  K5III
1875	121    Tau	05 35 27.1	+24 02 22	 5.38	  B2.5IV
1876	 37Phi1Ori	05 34 49.2	+09 29 22	 4.41	  B0III
1877	          	05 32 51.3	-38 30 47	 5.48	  K2III
1878	          	05 35 55.5	+27 39 44	 6.27	  K0
1879	 39Lam Ori	05 35 08.3	+09 56 03	 3.54	  O8III((f))
1880	 39Lam Ori	05 35 08.5	+09 56 06	 5.61	  B0.5V
1881	          	05 33 07.4	-35 08 23	 5.78	  K0III
1882	          	05 30 15.9	-63 55 40	 6.19	  F0IV
1883	          	05 35 13.4	+10 14 24	 5.60	  B9IIIpHg:Mn:
1884	          	05 36 52.4	+40 10 56	 6.09	  G3Ib+F
1885	          	06 01 20.2	+85 10 56	 6.11	  M0III
1886	          	05 35 00.9	-06 00 33	 5.67	  B1V
1887	          	05 35 02.7	-06 00 07	 4.78	  B0.5V
1888	          	05 33 52.1	-29 50 56	 6.53	  A0V
1889	          	05 36 30.2	+25 56 22	 6.49	  F5III
1890	          	05 35 21.8	-04 29 36	 6.56	  B1.5V
1891	          	05 35 22.5	-04 25 31	 6.24	  B2.5V
1892	 42    Ori	05 35 23.2	-04 50 18	 4.59	  B1V
1893	 41The1Ori	05 35 15.9	-05 23 14	 6.73	  B0.5V
1894	 41The1Ori	05 35 16.1	-05 23 07	 7.96	  B0V
1895	 41The1Ori	05 35 16.5	-05 23 23	 5.13	  O6p
1896	 41The1Ori	05 35 17.3	-05 23 16	 6.70	  B0.5Vp
1897	 43The2Ori	05 35 22.9	-05 24 58	 5.08	  O9.5Vp
1898	          	05 35 31.1	-04 21 53	 6.38	  B2.5IV
1899	 44Iot Ori	05 35 26.0	-05 54 36	 2.77	  O9III
1900	          	05 35 35.8	-03 15 10	 6.40	  B3IV
1901	 45    Ori	05 35 39.5	-04 51 21	 5.26	  F0III
1902	          	05 37 08.8	+26 55 27	 5.83	  B9IV-V
1903	 46Eps Ori	05 36 12.8	-01 12 07	 1.70	  B0Ia
1904	          	05 37 45.7	+33 33 33	 6.33	  K0
1905	122    Tau	05 37 03.8	+17 02 25	 5.54	  F0V
1906	          	05 36 15.0	-05 38 53	 6.54	  B3V
1907	 40Phi2Ori	05 36 54.3	+09 17 26	 4.09	  K0IIIbFe-2
1908	          	05 37 04.4	+11 02 06	 5.94	  K4III
1909	          	05 35 15.4	-33 04 48	 5.78	  K2IIIa
1910	123Zet Tau	05 37 38.7	+21 08 33	 3.00	  B4IIIpe
1911	          	05 36 35.7	-06 03 54	 5.72	  B1V
1912	          	05 33 44.4	-54 54 08	 6.43	  F8V
1913	          	05 37 19.3	+08 57 07	 6.12	  B2IV-V
1914	 26    Aur	05 38 38.1	+30 29 33	 5.40	  F9III+B9.5V
1915	          	05 36 10.3	-28 42 28	 6.26	  A2/3III/V:
1916	          	05 42 26.4	+65 41 52	 5.60	 gK5
1917	          	05 32 59.6	-64 13 39	 5.34	  G8-K0III
1918	          	05 37 27.4	-05 56 18	 6.05	  B1V
1919	          	05 37 08.8	-11 46 32	 6.11	  A2V
1920	          	05 38 01.1	+07 32 29	 5.88	  B8III
1921	          	05 38 57.4	+26 37 04	 6.37	  G9III
1922	   Bet Dor	05 33 37.5	-62 29 23	 3.76	  F6Ia
1923	          	05 37 53.4	-04 48 49	 6.19	  B2IV-V
1924	          	05 39 18.4	+29 12 55	 5.96	  B2IV-V
1925	          	05 41 20.3	+53 28 52	 6.23	  K1V
1926	   Nu 1Col	05 37 16.5	-27 52 17	 6.16	  F0IV
1927	          	05 36 02.7	-47 18 50	 6.11	  K2III+F
1928	125    Tau	05 39 44.2	+25 53 49	 5.18	  B3IV
1929	          	05 39 27.0	+21 45 46	 6.34	  A1Vn
1930	          	05 35 02.4	-58 52 16	 6.75	  K4III
1931	 48Sig Ori	05 38 44.8	-02 36 00	 3.81	  O9.5V
1932	          	05 38 47.1	-02 35 39	 6.65	  B2Vp
1933	          	05 38 37.8	-06 34 26	 5.96	  B1.5IV
1934	 47Ome Ori	05 39 11.1	+04 07 17	 4.57	  B3IIIe
1935	   Nu 2Col	05 37 44.6	-28 41 22	 5.31	  F4V
1936	          	05 34 57.6	-61 10 33	 6.32	  G5IV
1937	 49    Ori	05 38 53.1	-07 12 47	 4.80	  A4V
1938	          	05 40 35.9	+31 21 29	 6.04	  B9.5III-IVp:
1939	          	05 40 42.1	+31 55 15	 6.11	  M2IIIS
1940	          	05 39 31.2	-03 33 53	 6.00	  A8V s
1941	 24    Cam	05 43 01.6	+56 34 54	 6.05	  K0III
1942	          	05 39 30.8	-09 42 24	 6.50	  B7V
1943	 23    Cam	05 44 08.6	+61 28 36	 6.15	 gG5
1944	          	05 39 16.3	-17 50 58	 6.38	  B7V
1945	          	05 41 21.0	+29 29 15	 6.43	  B8IV
1946	126    Tau	05 41 17.7	+16 32 02	 4.86	  B3IV
1947	          	05 38 43.6	-40 42 27	 5.82	  B8V
1948	 50Zet Ori	05 40 45.5	-01 56 34	 2.05	  O9.7Ib
1949	 50Zet Ori	05 40 45.6	-01 56 34	 4.21	  B0III
1950	          	05 40 37.3	-02 49 30	 6.22	  B1.5V
1951	          	05 41 54.6	+23 19 35	 6.59	  B8p
1952	          	05 40 50.6	-01 07 44	 4.95	  B2IV-V
1953	   Gam Men	05 31 52.9	-76 20 28	 5.19	  K2III
1954	          	05 42 03.9	+22 39 37	 6.36	  K2
1955	          	05 41 05.6	+00 20 16	 5.93	  F0IV
1956	   Alp Col	05 39 38.9	-34 04 27	 2.64	  B7IVe
1957	          	05 40 46.0	-10 24 34	 6.52	  B9.5IIIpSi4200
1958	          	05 39 49.8	-32 37 45	 5.45	  G6-8III
1959	          	05 41 40.3	-02 53 46	 6.42	  A9IV-V
1960	          	05 36 54.7	-66 33 37	 6.31	  B9.5V
1961	          	05 43 19.5	+23 12 15	 6.21	  B2.5Ve
1962	          	05 41 41.5	-16 43 32	 6.21	  B3IVp
1963	 51    Ori	05 42 28.6	+01 28 29	 4.91	  K1III
1964	          	05 34 44.7	-73 44 29	 5.78	  M3III
1965	          	05 42 14.3	-17 31 49	 6.15	  K0
1966	          	05 41 27.0	-33 24 02	 6.34	  A0V
1967	          	05 42 53.8	-06 47 46	 6.02	  F3V
1968	 12    Lep	05 42 13.9	-22 22 25	 5.87	  A2
1969	 26    Cam	05 46 30.4	+56 06 56	 5.94	  A4Vn
1970	          	05 43 09.3	-01 36 47	 6.31	  K4III
1971	 27Omi Aur	05 45 54.0	+49 49 35	 5.47	  A2VpCr
1972	          	05 42 11.6	-30 32 08	 6.19	  A0V
1973	          	05 42 15.1	-34 40 04	 5.29	  B9.5V
1974	          	05 45 49.5	+40 30 26	 6.58	  A3Del Del
1975	          	05 43 21.6	-18 33 27	 5.73	  A0V s
1976	          	05 49 04.9	+62 48 29	 6.13	  A4V
1977	          	05 45 39.4	+20 41 42	 6.95	  C5II
1978	          	05 45 01.9	+04 00 29	 6.09	 gF0n
1979	          	05 47 14.7	+42 31 36	 6.29	  K0
1980	          	05 44 28.4	-20 07 35	 6.34	  G0
1981	          	05 43 30.2	-39 24 25	 6.25	  F3V
1982	          	05 44 26.5	-22 25 18	 6.15	  K2V
1983	 13Gam Lep	05 44 27.8	-22 26 54	 3.60	  F6V
1984	          	05 43 41.1	-45 49 59	 6.39	  A9V
1985	129    Tau	05 46 45.5	+15 49 21	 6.00	  B8IIIpHgMn:
1986	          	05 46 02.8	-04 16 06	 6.34	  K1III+G0IV
1987	          	05 46 52.1	+09 31 20	 5.79	  G8III
1988	          	05 46 35.0	+01 10 05	 5.95	  G4V
1989	131    Tau	05 47 13.2	+14 29 18	 5.72	  A3Vn
1990	130    Tau	05 47 26.2	+17 43 45	 5.49	  F0III
1991	   Iot Men	05 35 36.3	-78 49 15	 6.05	  B8III
1992	 29    Cam	05 50 34.0	+56 55 08	 6.54	  A4IV-V
1993	133    Tau	05 47 42.9	+13 53 59	 5.29	  B2IV-V
1994	          	05 52 55.5	+68 28 17	 6.20	  G9III
1995	 29Tau Aur	05 49 10.5	+39 10 52	 4.52	  G8IIIFe-1
1996	   Mu  Col	05 45 59.9	-32 18 23	 5.17	  O9.5V
1997	          	05 48 22.4	+20 52 10	 6.07	  B9Vn
1998	 14Zet Lep	05 46 57.3	-14 49 19	 3.55	  A3Vn
1999	 52    Ori	05 48 00.2	+06 27 15	 5.27	  A5V
2000	          	05 47 07.6	-16 14 16	 6.17	  G2Ib-II
2001	          	05 47 26.7	-10 31 59	 6.03	  A4V
2002	132    Tau	05 49 01.0	+24 34 03	 4.86	  G8III
2003	          	05 50 56.4	+51 30 53	 6.29	  K1III
2004	 53Kap Ori	05 47 45.4	-09 40 11	 2.06	  B0.5Ia
2005	          	05 47 04.7	-28 38 21	 6.22	  B5V
2006	 30    Cam	05 52 17.4	+58 57 51	 6.14	  A0V s
2007	          	05 48 34.9	-04 05 41	 5.97	  G4V
2008	          	05 46 27.4	-46 35 50	 5.31	  K0-1II
2009	          	05 47 18.6	-35 40 29	 6.32	  K1III
2010	134    Tau	05 49 32.9	+12 39 04	 4.91	  B9IV
2011	 31Ups Aur	05 51 02.4	+37 18 20	 4.74	  M0+III-IIIbFe-0.5
2012	 32Nu  Aur	05 51 29.4	+39 08 55	 3.97	  G9.5III*
2013	          	05 50 58.1	+27 58 04	 5.56	 gG7
2014	          	05 50 02.6	+09 52 16	 5.80	  G8III
2015	   Del Dor	05 44 46.4	-65 44 08	 4.35	  A7V
2016	135    Tau	05 50 28.9	+14 18 20	 5.52	 gG9
2017	          	05 47 58.1	-40 39 09	 6.61	  K1III
2018	          	05 51 25.7	+32 07 30	 6.25	  M3III
2019	          	05 50 13.1	+04 25 24	 5.97	 gK2
2020	   Bet Pic	05 47 17.1	-51 03 59	 3.85	  A5V
2021	          	05 49 36.5	-14 29 01	 5.49	 gG6
2022	   Pi  Men	05 37 09.8	-80 28 09	 5.65	  G1V
2023	          	05 47 13.0	-54 21 39	 6.18	  K3III
2024	          	05 50 30.0	+02 01 28	 5.98	  G8III+A0IV
2025	          	05 52 39.5	+39 34 28	 6.45	  A2V
2026	          	05 49 53.5	-22 58 18	 5.87	  A2
2027	 31    Cam	05 54 57.8	+59 53 18	 5.20	  A2V
2028	          	05 52 40.1	+33 55 03	 5.98	  M1.5II-III
2029	 30Xi  Aur	05 54 50.8	+55 42 25	 4.99	  A2V
2030	          	05 52 23.4	+19 52 05	 6.06	  G2IIIe+B8III
2031	 55    Ori	05 51 22.0	-07 31 05	 5.35	  B2IV-V
2032	          	05 49 34.1	-44 52 31	 6.38	  K1III
2033	137    Tau	05 52 22.3	+14 10 18	 5.59	  B9pSiCrEu
2034	136    Tau	05 53 19.6	+27 36 44	 4.58	  A0V
2035	 15Del Lep	05 51 19.3	-20 52 45	 3.81	  K0IIIFe-1.5CH0.5
2036	          	05 51 28.6	-22 55 34	 6.17	  K0
2037	 56    Ori	05 52 26.4	+01 51 18	 4.78	  K1.5IIb
2038	          	05 53 19.1	+20 17 57	 6.71	  B9V
2039	          	05 52 07.6	-09 02 29	 5.97	  A2Vnp
2040	   Bet Col	05 50 57.6	-35 46 06	 3.12	  K2III
2041	          	05 57 35.0	+66 05 46	 6.25	  K0
2042	   Gam Pic	05 49 49.7	-56 10 00	 4.51	  K1III
2043	          	05 51 59.5	-29 26 55	 6.45	  K3III
2044	          	05 50 28.6	-52 46 04	 6.35	  K0-1III+A4V+A
2045	          	05 56 14.4	+51 48 14	 6.49	  A5V
2046	          	05 54 59.0	+31 42 06	 5.90	  A5IV
2047	 54Chi1Ori	05 54 22.9	+20 16 34	 4.41	  G0V
2048	          	05 54 13.4	+10 35 13	 6.12	  G9II
2049	          	05 50 53.2	-52 06 32	 5.17	  G8III
2050	          	05 54 32.2	+11 45 45	 6.59	  A2V
2051	          	05 54 15.7	+03 13 31	 6.31	  K0
2052	 57    Ori	05 54 56.7	+19 44 59	 5.92	  B2V
2053	          	05 52 33.2	-37 37 52	 5.63	  K1III
2054	          	05 57 04.9	+49 01 46	 6.47	  G8III
2055	          	05 52 47.7	-38 31 33	 6.70	  K1III
2056	   Lam Col	05 53 06.9	-33 48 05	 4.87	  B5V
2057	          	05 54 44.1	+00 58 06	 6.00	  K0III
2058	          	05 54 34.7	-04 03 50	 6.57	  B1.5V
2059	          	05 30 13.9	-84 47 06	 6.20	  B9.5IV-V
2060	          	05 53 57.4	-19 38 18	 6.69	  A4V
2061	 58Alp Ori	05 55 10.3	+07 24 25	 0.50	  M1-2Ia-Iab
2062	   Lam Men	05 47 48.1	-72 42 08	 6.53	  K0III
2063	          	05 55 49.3	+20 10 30	 5.40	  M6.5IIIe
2064	   Eps Dor	05 49 53.6	-66 54 04	 5.11	  B6V
2065	          	05 54 43.6	-11 46 26	 5.66	  K5III
2066	          	05 56 33.8	+28 56 32	 6.32	  A2II
2067	          	05 56 03.5	+13 55 31	 6.60	  G5IV
2068	          	05 54 14.1	-29 08 52	 6.36	  F3V
2069	          	05 53 22.9	-42 55 17	 6.55	  K3III
2070	          	05 55 30.3	-04 36 59	 5.87	 gK2
2071	          	05 55 35.4	-04 47 18	 6.28	  A2III
2072	          	05 52 20.3	-57 09 22	 5.94	  F7IV
2073	          	05 51 23.0	-64 02 01	 6.36	  G8III
2074	          	05 56 56.1	+24 14 59	 6.02	  A0Ia
2075	          	05 56 28.0	+09 30 35	 5.99	  A0IV
2076	          	05 56 49.5	+11 31 16	 5.87	  K2III
2077	 33Del Aur	05 59 31.6	+54 17 05	 3.72	  K0-III
2078	          	06 05 09.3	+75 35 09	 6.40	  K5
2079	          	05 59 45.7	+55 19 15	 6.44	  A5m
2080	          	05 59 48.1	+54 32 50	 6.14	  K2III
2081	          	05 59 21.8	+49 55 28	 5.89	  G5III
2082	          	05 54 52.5	-39 57 29	 5.57	  M0III
2083	          	05 54 10.7	-50 21 43	 6.52	  G8IV
2084	139    Tau	05 57 59.7	+25 57 14	 4.82	  B0.5II
2085	 16Eta Lep	05 56 24.3	-14 10 04	 3.71	  F1III
2086	          	05 56 14.3	-22 50 25	 5.96	  K0V
2087	   Xi  Col	05 55 29.9	-37 07 15	 4.97	  K1III
2088	 34Bet Aur	05 59 31.7	+44 56 51	 1.90	  A2IV
2089	          	05 54 41.1	-49 37 37	 6.10	  B3V
2090	          	05 56 34.5	-23 12 56	 6.36	  K0
2091	 35Pi  Aur	05 59 56.1	+45 56 13	 4.26	  M3II
2092	   Sig Col	05 56 20.9	-31 22 57	 5.50	  F2III
2093	          	05 57 54.2	+01 13 28	 6.22	  M0III
2094	          	05 54 50.2	-52 38 07	 5.29	  F0VDel Del
2095	 37The Aur	05 59 43.3	+37 12 45	 2.62	  A0pSi
2096	          	06 00 19.0	+44 35 31	 6.22	  K2III+K0III
2097	          	05 58 11.7	-00 59 39	 6.22	  K0
2098	          	05 56 49.0	-31 58 34	 6.44	  G8III
2099	          	05 58 53.2	+12 48 31	 5.70	  K2III+A5V
2100	 59    Ori	05 58 24.4	+01 50 13	 5.90	  A5mDel Del
2101	 36    Aur	06 00 58.6	+47 54 07	 5.73	  B9.5pSiFe
2102	          	05 54 06.1	-63 05 24	 4.65	  K1III-IV
2103	 60    Ori	05 58 49.6	+00 33 11	 5.22	  A1V s
2104	          	05 54 11.9	-64 28 56	 6.63	  F0III
2105	          	06 01 43.1	+48 57 34	 5.96	  K0
2106	   Gam Col	05 57 32.2	-35 17 00	 4.36	  B2.5IV
2107	  1    Mon	05 59 01.0	-09 22 56	 6.12	  F2IV
2108	  2    Mon	05 59 04.3	-09 33 30	 5.03	  A6IIIm vs
2109	          	05 59 37.7	-01 26 40	 6.63	  B8IIIn
2110	          	06 01 10.2	+31 02 05	 5.98	  A2V
2111	          	06 01 00.4	+27 34 20	 6.05	  B9Iab
2112	          	06 02 48.7	+49 54 20	 6.05	  B9.5IV
2113	          	06 00 03.4	-03 04 27	 4.53	  K1.5IIIFe-1.5
2114	          	05 57 14.4	-53 25 34	 6.45	  K5-M0III
2115	          	06 02 53.6	+43 22 43	 6.42	  K0
2116	          	06 01 41.6	+22 24 03	 6.37	  B8V
2117	          	05 58 37.6	-44 02 04	 5.81	  G8II
2118	          	06 00 17.7	-12 53 59	 6.22	  F0
2119	 38    Aur	06 03 18.0	+42 54 42	 6.10	  K0II
2120	   Eta Col	05 59 08.8	-42 48 55	 3.96	  K0III
2121	          	06 05 08.3	+59 23 35	 6.34	  K1III-IV
2122	          	06 02 55.1	+32 38 09	 6.24	  F4V
2123	          	06 04 29.1	+51 34 24	 6.45	  A7III
2124	 61Mu  Ori	06 02 23.0	+09 38 51	 4.12	  A2V
2125	   Kap Men	05 50 16.7	-79 21 41	 5.47	  B9V
2126	          	06 06 39.2	+63 27 13	 6.39	  K0
2127	          	06 02 17.1	+01 41 40	 6.59	  B8V
2128	  3    Mon	06 01 50.4	-10 35 53	 4.95	  B5III
2129	          	06 01 13.1	-25 25 04	 6.05	  A1V
2130	 64    Ori	06 03 27.3	+19 41 26	 5.14	  B8III
2131	          	06 01 16.4	-33 54 42	 5.55	  K5III
2132	 39    Aur	06 05 03.4	+42 58 54	 5.87	  F3V
2133	          	06 03 24.7	+11 40 51	 6.08	  A0V s
2134	  1    Gem	06 04 07.2	+23 15 48	 4.16	  G7III
2135	 62Chi2Ori	06 03 55.2	+20 08 18	 4.63	  B2Ia
2136	          	06 02 33.8	-14 29 50	 6.20	  G5
2137	          	06 05 02.6	+37 57 51	 6.34	  K0III+A2
2138	          	06 00 49.2	-51 12 59	 5.67	  Am
2139	          	06 05 34.0	+33 35 57	 6.23	  B9pSi
2140	          	06 03 15.5	-26 17 04	 5.04	  K3III
2141	          	06 06 08.5	+35 23 15	 6.12	  G0V
2142	          	06 04 13.5	-06 42 33	 5.21	  B2Ven
2143	 40    Aur	06 06 35.1	+38 28 58	 5.36	  A4m
2144	 63    Ori	06 04 58.2	+05 25 12	 5.67	 gG7
2145	 66    Ori	06 04 58.4	+04 09 31	 5.63	  G4III
2146	          	06 06 22.5	+29 30 45	 6.08	  M3II+F7V
2147	          	06 07 26.9	+41 51 15	 6.12	  K0III
2148	 17    Lep	06 04 59.1	-16 29 04	 4.93	  A2eShell
2149	          	06 04 20.3	-32 10 21	 5.65	  B2.5V
2150	          	06 05 27.0	-10 14 34	 5.87	 dF4
2151	          	06 02 09.2	-60 05 49	 6.45	  M4III
2152	 37    Cam	06 09 59.1	+58 56 09	 5.36	  G8III
2153	          	06 08 23.0	+41 03 20	 6.36	  G9III
2154	          	06 06 38.7	-04 11 38	 5.38	  B5IV
2155	 18The Lep	06 06 09.3	-14 56 07	 4.67	  A1Vn
2156	          	06 05 45.7	-24 11 44	 6.95	  M6III
2157	          	06 04 28.4	-45 02 12	 6.35	  G0IV-V
2158	          	06 04 40.2	-45 04 44	 5.93	  F4V
2159	 67Nu  Ori	06 07 34.3	+14 46 06	 4.42	  B3V
2160	          	06 05 27.1	-35 30 49	 5.80	  A1V
2161	          	06 06 51.9	-11 10 25	 6.66	  B3V
2162	          	06 04 46.9	-48 27 31	 6.58	  G6V
2163	          	06 06 32.0	-23 06 38	 5.47	  Am
2164	          	06 06 05.5	-29 45 31	 5.81	  A1V
2165	 36    Cam	06 12 51.1	+65 43 06	 5.32	  K1.5IIIbCN-0.5
2166	          	06 06 57.6	-21 48 46	 5.78	  M4III
2167	          	06 08 47.2	+08 40 12	 6.55	  B9V
2168	 19    Lep	06 07 41.6	-19 09 57	 5.31	  M2III
2169	          	06 09 32.4	+22 11 24	 5.93	  K4I
2170	          	06 07 03.7	-34 18 43	 5.83	  B4IVe
2171	   Pi 1Col	06 06 41.0	-42 17 55	 6.12	  Am
2172	          	06 11 46.0	+52 38 50	 6.30	  A5IIIm
2173	  3    Gem	06 09 44.0	+23 06 48	 5.75	  B2.5Ib
